urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
18,2,1,FCFS,58,154.275787,32.596971,121.678816,186.872758,0.075006,0.000494,0.074513,0.075500,2.036505,0.012257,2.024249,2.048762,0.887089,0.012439,0.874650,0.899528,1.144587,0.193712,0.950874,1.338299
18,2,2,Bailey-Welch,58,154.946339,32.569333,122.377005,187.515672,0.172363,0.000801,0.171563,0.173164,1.979456,0.012313,1.967143,1.991769,0.837372,0.012447,0.824924,0.849819,1.142239,0.193543,0.948696,1.335782
18,2,3,Blocking,58,155.152577,32.621783,122.530794,187.774359,0.179862,0.000517,0.179345,0.180378,2.128315,0.012074,2.116242,2.140389,0.877444,0.012338,0.865106,0.889782,1.160007,0.193871,0.966136,1.353877
18,2,4,Benchmarking,58,154.357347,32.586997,121.770350,186.944345,0.076499,0.000489,0.076010,0.076988,2.020139,0.012259,2.007879,2.032398,0.874883,0.012421,0.862462,0.887304,1.143254,0.193651,0.949603,1.336905
18,3,1,FCFS,58,154.367179,32.581393,121.785786,186.948571,0.075875,0.000488,0.075387,0.076363,1.924207,0.013281,1.910926,1.937487,0.723240,0.011976,0.711265,0.735216,1.132653,0.193600,0.939053,1.326253
18,3,2,Bailey-Welch,58,154.981471,32.559410,122.422061,187.540881,0.180195,0.000808,0.179387,0.181003,1.866620,0.013230,1.853390,1.879850,0.675227,0.011990,0.663237,0.687217,1.129911,0.193470,0.936441,1.323381
18,3,3,Blocking,58,155.039692,32.569312,122.470379,187.609004,0.181443,0.000534,0.180909,0.181977,1.910904,0.013247,1.897657,1.924151,0.714083,0.011934,0.702150,0.726017,1.135178,0.193517,0.941661,1.328695
18,3,4,Benchmarking,58,154.427039,32.572373,121.854665,186.999412,0.077364,0.000488,0.076876,0.077852,1.907263,0.013269,1.893995,1.920532,0.711146,0.011962,0.699184,0.723108,1.131127,0.193545,0.937582,1.324672
19,1,1,FCFS,58,1109.729929,161.352202,948.377726,1271.082131,0.084114,0.000458,0.083656,0.084572,2.476733,0.012327,2.464407,2.489060,0.427067,0.009935,0.417132,0.437002,6.880728,0.960224,5.920504,7.840952
19,1,2,Bailey-Welch,58,1110.672222,161.353949,949.318274,1272.026171,0.184570,0.000645,0.183925,0.185214,2.399546,0.012249,2.387297,2.411795,0.388644,0.009880,0.378764,0.398523,6.877760,0.960219,5.917541,7.837979
19,1,3,Blocking,58,1110.770086,161.359523,949.410562,1272.129609,0.189465,0.000461,0.189004,0.189926,2.461825,0.012427,2.449398,2.474252,0.421211,0.009892,0.411320,0.431103,6.885263,0.960260,5.925003,7.845522
19,1,4,Benchmarking,58,1109.708077,161.351387,948.356691,1271.059464,0.084905,0.000456,0.084449,0.085361,2.458248,0.012307,2.445941,2.470554,0.419481,0.009916,0.409565,0.429397,6.878544,0.960218,5.918326,7.838762
